Plataforma,Genero,Anio de lanzamiento,Puntuacion de la critica,Puntuacion de los usuarios,Ventas globales (millones),Clasificacion ESRB,Modo multijugador,Modo historia,Valoracion Final
PC,Aventura,2018,7.6,4,25.94,E10+,No,No,5.8
Xbox Series X,Accion,2022,8.6,3,7.74,E10+,Si,Si,5.8
Switch,Carreras,2020,5.3,9,27.43,T,No,No,7.15
PS5,Simulacion,2020,6.2,5,27.33,M,No,No,5.6
Switch,RPG,2023,8.2,6,19.09,E,No,No,7.1
Xbox Series X,Puzzle,2021,9.1,6,29.57,AO,Si,Si,7.55
PS4,Estrategia,2020,6.9,1,47.94,E10+,Si,Si,3.95
Xbox One,Aventura,2013,5.9,9,47.08,M,No,Si,7.45
Xbox One,Accion,2017,7.1,1,25.05,E,No,No,4.05
PS4,Aventura,2014,8.9,2,1.64,E,No,Si,5.45
Switch,Aventura,2023,5.9,2,36.2,E,No,Si,3.95
Xbox Series X,Deportes,2021,9.2,5,33.76,T,No,Si,7.1
Xbox Series X,Accion,2023,5.6,2,40.16,E,No,Si,3.8
Xbox One,Puzzle,2015,7.5,8,47.5,E,No,No,7.75
PC,Puzzle,2013,9.1,2,49.1,T,No,No,5.55
Xbox One,Puzzle,2018,5.6,3,43.6,E10+,No,No,4.3
Xbox Series X,Accion,2024,5.2,4,37.31,E,Si,No,4.6
PS5,Simulacion,2021,6.4,10,39.6,T,No,Si,8.2
Switch,Estrategia,2020,5.1,3,27.84,T,No,Si,4.05
PS4,RPG,2020,6.8,4,24.55,E10+,No,Si,5.4
PC,Puzzle,2024,6.3,1,6.31,AO,Si,Si,3.65
PC,RPG,2007,6.3,9,17.5,E10+,No,No,7.65
PS4,Aventura,2017,6.5,4,18.34,E,No,Si,5.25
Xbox One,Plataformas,2017,9.2,9,5.4,M,Si,Si,9.1
PC,Accion,2018,8.2,1,13.26,AO,No,Si,4.6
PS5,RPG,2023,5.1,10,34.11,M,No,No,7.55
PC,Deportes,2011,7.4,10,43.99,T,Si,Si,8.7
PS5,Simulacion,2024,7,1,33.91,T,No,No,4
PS5,Aventura,2023,8.1,9,17.25,E,Si,No,8.55
Xbox Series X,Puzzle,2020,6.2,5,5.22,E,No,Si,5.6
PC,Aventura,2024,8.7,5,24.26,T,Si,Si,6.85
Xbox One,Aventura,2018,6.9,8,21.66,T,No,No,7.45
Xbox Series X,Simulacion,2021,6.4,9,3.32,AO,No,No,7.7
PS4,RPG,2018,9.8,3,35.27,E,No,No,6.4
Xbox One,Plataformas,2019,8,3,36.71,AO,Si,Si,5.5
PS4,Deportes,2018,6.9,8,18.74,M,No,Si,7.45
Xbox One,Plataformas,2019,5.4,4,28.47,T,Si,Si,4.7
PS4,Puzzle,2014,6.5,9,45.32,E10+,Si,Si,7.75
PS4,RPG,2020,7.6,7,22.26,AO,Si,No,7.3
Xbox Series X,RPG,2024,8.4,6,15.02,M,No,No,7.2
Xbox Series X,Deportes,2025,8.8,4,38.69,M,Si,No,6.4
Xbox One,Deportes,2013,9.2,7,34.4,E,Si,Si,8.1
PC,Puzzle,2008,8,1,3.28,M,Si,No,4.5
Xbox Series X,RPG,2025,7.5,2,32.65,E10+,Si,Si,4.75
Xbox Series X,Puzzle,2022,8.9,10,21.23,M,Si,Si,9.45
Switch,RPG,2025,5,9,16.58,E10+,Si,No,7
PS4,Aventura,2014,8.9,1,49.42,E,No,Si,4.95
Xbox One,Aventura,2020,5.9,8,33.33,AO,Si,Si,6.95
PS4,Puzzle,2015,8.9,3,48.88,AO,Si,Si,5.95
PS4,Aventura,2019,5,1,34.65,T,No,Si,3
PS4,Simulacion,2020,5.4,6,7.77,T,Si,No,5.7
Xbox One,RPG,2019,5.8,7,16.1,T,No,Si,6.4
Xbox One,Aventura,2019,6,10,42.54,M,No,Si,8
Xbox One,Puzzle,2018,8,10,4.06,E,Si,Si,9
Xbox One,Simulacion,2019,7.1,4,2.71,T,Si,No,5.55
Switch,Puzzle,2018,8.2,6,17.05,M,Si,No,7.1
PC,Carreras,2019,9.3,9,12.57,AO,Si,No,9.15
Xbox One,Accion,2020,6,3,43.89,T,No,No,4.5
Xbox Series X,Simulacion,2023,7.9,9,14.06,E10+,No,Si,8.45
PC,RPG,2015,5.2,6,10.59,AO,No,Si,5.6
Switch,Aventura,2022,5,8,22.98,AO,Si,No,6.5
Xbox One,Puzzle,2020,5.1,5,45.98,E10+,No,No,5.05
Xbox Series X,Estrategia,2024,7.9,4,40.06,T,No,Si,5.95
PS4,Simulacion,2018,5.2,2,22.9,E,Si,Si,3.6
Switch,RPG,2021,6.8,2,47.19,E,No,Si,4.4
Xbox Series X,Simulacion,2024,9.2,3,26.74,E,Si,No,6.1
Xbox Series X,Plataformas,2025,5.7,6,28.63,T,No,No,5.85
Switch,Simulacion,2020,9.7,1,42.33,AO,Si,No,5.35
Switch,RPG,2017,8.1,7,47.57,E,No,Si,7.55
Xbox One,Estrategia,2015,6.2,8,34.09,T,No,Si,7.1
PC,Aventura,2006,5.1,3,29.53,E,Si,Si,4.05
Xbox Series X,Accion,2021,7.5,9,30.4,E,Si,No,8.25
Xbox Series X,Deportes,2022,6.4,8,27.5,E,Si,No,7.2
Xbox Series X,Puzzle,2020,7.2,4,23.92,E,Si,Si,5.6
Xbox One,Aventura,2017,8.2,4,44.01,E,No,No,6.1
Xbox Series X,Estrategia,2021,6,9,40.46,T,Si,Si,7.5
PC,Deportes,2012,8,8,20.2,T,No,No,8
Xbox Series X,Plataformas,2020,6.8,6,18.38,M,No,Si,6.4
Xbox One,Deportes,2013,9.9,3,24.85,E,No,No,6.45
Xbox Series X,Plataformas,2022,9.7,5,23.25,E,No,Si,7.35
Xbox Series X,Plataformas,2024,7.7,1,35.06,E,No,Si,4.35
PS4,Carreras,2016,6.3,5,25.47,T,No,Si,5.65
Xbox Series X,Accion,2023,9.5,6,6.6,AO,No,No,7.75
Xbox One,Carreras,2018,9.6,10,46.19,AO,Si,Si,9.8
Xbox One,Estrategia,2014,8.9,1,43.81,E10+,Si,Si,4.95
Xbox One,Estrategia,2016,9.7,1,26.89,E,No,No,5.35
Xbox Series X,Simulacion,2022,7.2,4,40.9,E10+,Si,No,5.6
Switch,Simulacion,2017,5.2,4,40.58,E10+,No,Si,4.6
PS4,RPG,2017,9.6,6,0.43,E10+,No,No,7.8
Xbox One,Accion,2013,8.2,10,10.81,M,No,No,9.1
Xbox Series X,Aventura,2021,10,8,35.03,E10+,Si,No,9
Xbox One,Carreras,2017,5.7,7,45.94,M,Si,No,6.35
PC,Accion,2006,6.8,10,31.06,T,No,No,8.4
Xbox One,RPG,2017,9.5,7,42.44,M,No,No,8.25
PC,Estrategia,2013,8.4,2,46.88,M,No,No,5.2
Switch,Accion,2021,5.2,7,15.52,E,No,Si,6.1
PC,Simulacion,2011,6.8,6,44.08,AO,Si,No,6.4
PS4,Puzzle,2015,8.5,6,47.79,E10+,Si,No,7.25
Xbox One,Estrategia,2014,7.4,1,29.39,E10+,No,No,4.2
PS4,Puzzle,2017,6.1,9,45.26,M,Si,No,7.55
Xbox Series X,RPG,2024,8.9,1,4.34,E10+,Si,No,4.95
PC,RPG,2007,9.8,7,22.16,M,No,Si,8.4
PS4,Plataformas,2018,5.8,6,23.32,E10+,Si,Si,5.9
PC,RPG,2023,9.9,9,48.87,T,No,No,9.45
Xbox Series X,Plataformas,2023,7.2,7,9.21,E,No,No,7.1
Switch,Deportes,2017,7.3,3,44.82,E,No,No,5.15
Xbox One,Aventura,2019,6.1,5,6.99,E,Si,Si,5.55
PS5,RPG,2025,8.2,7,23.39,E10+,Si,Si,7.6
PS4,Deportes,2015,7.3,5,11.7,T,No,Si,6.15
Xbox Series X,Plataformas,2021,7.9,2,48.05,T,Si,Si,4.95
PC,RPG,2010,8.1,3,30.75,E,No,Si,5.55
Xbox Series X,Puzzle,2021,8.5,1,38.95,M,No,Si,4.75
PS4,Puzzle,2020,5,4,19.18,E,No,Si,4.5
PS4,Plataformas,2016,8,5,9.99,E10+,No,No,6.5
PS4,Plataformas,2020,5.6,8,32.48,T,No,No,6.8
PC,Carreras,2020,9,7,42.15,T,Si,No,8
Switch,Aventura,2024,9.9,2,48.78,E,Si,Si,5.95
Switch,Carreras,2019,8.9,9,18.39,T,No,No,8.95
PS5,Accion,2023,5.7,7,47.31,M,No,No,6.35
Xbox Series X,Estrategia,2021,7.1,5,14.92,T,Si,Si,6.05
Xbox Series X,Carreras,2023,9.3,7,32.26,T,Si,No,8.15
PS4,Deportes,2015,5.2,1,17.11,E10+,No,Si,3.1
Switch,Estrategia,2019,5.1,4,7.13,E10+,Si,No,4.55
PS4,Puzzle,2017,9.7,7,38.58,E10+,No,Si,8.35
PS4,Puzzle,2020,6,4,6.39,E10+,No,Si,5
PC,Simulacion,2025,7.1,7,11.37,M,Si,Si,7.05
Xbox One,Aventura,2013,7.8,4,31.36,AO,No,No,5.9
PC,Accion,2013,7.3,7,31.77,E,No,Si,7.15
PS5,Accion,2024,6.7,6,40.88,T,No,Si,6.35
PS4,Estrategia,2017,8.5,10,19.43,T,Si,Si,9.25
PS4,Carreras,2018,9.3,9,29.19,E,Si,No,9.15
Xbox One,Aventura,2013,7.9,7,47.71,E,No,Si,7.45
Xbox One,Accion,2016,7.5,8,33.81,E10+,No,Si,7.75
Xbox One,Aventura,2018,8.7,10,6.2,T,Si,Si,9.35
Xbox Series X,Estrategia,2020,6.1,6,26.72,E10+,Si,Si,6.05
PC,Simulacion,2016,6.3,4,47.02,T,Si,No,5.15
PC,Puzzle,2013,9.2,4,38.71,E,Si,No,6.6
PC,Aventura,2020,9.1,10,1.42,M,No,Si,9.55
PC,Deportes,2024,7.6,4,46.65,M,No,No,5.8
PS4,Carreras,2018,9.3,1,30.1,T,No,No,5.15
PC,Estrategia,2016,5,6,45.94,E10+,No,Si,5.5
PC,Plataformas,2014,5.6,7,29.42,E10+,No,No,6.3
Xbox One,Estrategia,2015,7.9,6,22.81,M,Si,Si,6.95
PS5,Carreras,2021,9.7,10,39.35,AO,Si,Si,9.85
PS4,Accion,2019,9.7,8,25.14,E,Si,No,8.85
Switch,Aventura,2024,9.9,5,27.77,E10+,No,Si,7.45
Switch,Accion,2021,7.1,8,38.78,T,Si,Si,7.55
PC,Estrategia,2014,9.6,6,23.05,AO,No,Si,7.8
Switch,Aventura,2023,9.1,8,18.89,E,No,Si,8.55
PS5,Accion,2025,9,8,6.21,E,Si,Si,8.5
Xbox Series X,Puzzle,2023,9.1,4,25.05,AO,Si,No,6.55
PC,Deportes,2025,6.3,7,20.35,E10+,No,No,6.65
Xbox Series X,Deportes,2021,6.7,9,40.81,M,No,Si,7.85
PC,Carreras,2024,8,9,17.61,E,No,No,8.5
Switch,RPG,2019,8.3,3,8.45,E,Si,Si,5.65
Xbox Series X,Simulacion,2022,10,7,48.29,M,Si,No,8.5
PC,RPG,2025,6,5,30.58,T,Si,No,5.5
PS5,Accion,2022,8.2,1,13.48,E,No,Si,4.6
PS4,Accion,2020,8.8,4,3.58,E,No,Si,6.4
Xbox Series X,Puzzle,2024,8.9,5,5.59,E10+,Si,Si,6.95
Xbox One,Plataformas,2014,5,10,33.13,E10+,No,Si,7.5
PC,Carreras,2012,8.9,2,3.39,T,No,No,5.45
PS4,Plataformas,2016,7.2,4,20.34,E10+,Si,Si,5.6
Xbox Series X,Plataformas,2022,5.5,10,16.03,T,No,No,7.75
PS5,Deportes,2024,7.7,7,48.58,E10+,No,No,7.35
PC,Plataformas,2020,7.3,2,37.33,E,Si,Si,4.65
PS5,Deportes,2020,6.7,9,10.69,T,No,Si,7.85
PS5,RPG,2024,7,3,1.49,E10+,Si,No,5
Xbox One,Carreras,2015,9.5,5,10.65,E10+,No,Si,7.25
PC,Carreras,2006,8.5,2,13.49,M,Si,No,5.25
PC,Estrategia,2021,7,9,40.88,AO,Si,Si,8
PS4,Plataformas,2020,5.3,5,16.28,E10+,No,No,5.15
Xbox Series X,Plataformas,2023,6.4,3,40.07,T,No,Si,4.7
Xbox Series X,RPG,2025,7.9,6,6.39,E10+,Si,No,6.95
PS5,Accion,2023,6.2,3,24.62,AO,No,Si,4.6
PS5,Aventura,2023,7,3,7.12,E,No,Si,5
Xbox Series X,Accion,2022,8.7,5,22.24,M,No,Si,6.85
PS5,Puzzle,2024,8.7,9,3.11,E10+,No,Si,8.85
PS4,Accion,2015,7.4,9,4.18,E10+,Si,Si,8.2
Xbox One,Puzzle,2020,9.2,6,27.91,AO,No,No,7.6
PS4,Simulacion,2018,8.2,7,7.74,AO,Si,Si,7.6
PS4,RPG,2018,8.4,8,22.53,AO,Si,No,8.2
Xbox Series X,Carreras,2020,7.5,4,31.01,E10+,No,No,5.75
PS4,Accion,2020,5.8,6,31.68,T,No,No,5.9
PC,Estrategia,2008,7,6,0.31,M,No,Si,6.5
PS5,Accion,2025,6.7,9,10.26,AO,Si,No,7.85
PC,RPG,2009,6.4,8,35.1,T,No,Si,7.2
PS4,Accion,2015,10,8,26.51,E10+,Si,Si,9
Switch,Aventura,2022,8.9,7,49.63,E10+,Si,No,7.95
Xbox One,Deportes,2016,6,9,43.02,M,Si,No,7.5
PS4,Estrategia,2019,5.1,8,21.81,E,No,No,6.55
PC,Plataformas,2008,6.2,6,31.45,E10+,Si,No,6.1
PS4,Estrategia,2015,7,5,25.08,AO,Si,Si,6
PS4,RPG,2020,7.3,7,24.05,T,No,Si,7.15
Switch,RPG,2022,10,6,45.8,E,No,Si,8
PC,Estrategia,2013,7.2,2,40.73,T,Si,No,4.6
PC,Accion,2016,6.9,7,4.16,T,Si,Si,6.95
Xbox Series X,Simulacion,2021,7.2,5,13.51,E10+,Si,Si,6.1
Switch,Plataformas,2019,7.8,2,9.23,AO,Si,No,4.9
Switch,Estrategia,2020,8.5,4,1.78,M,Si,Si,6.25
Xbox Series X,Simulacion,2023,10,2,38.44,AO,Si,No,6
Switch,Estrategia,2017,5,9,35.48,E10+,No,Si,7
PC,Estrategia,2013,5.4,5,8.38,AO,Si,No,5.2
Switch,Puzzle,2023,6,7,25.3,E,Si,No,6.5
Xbox Series X,Accion,2023,9.2,3,1.06,E10+,Si,No,6.1
PS4,Deportes,2018,5.6,4,33.43,E10+,Si,Si,4.8
Xbox Series X,Aventura,2020,7.4,2,14.57,E,Si,Si,4.7
PS5,Accion,2021,6.9,9,5.44,E10+,Si,Si,7.95
Xbox One,Simulacion,2013,6.9,6,24.56,T,Si,Si,6.45
PS5,Simulacion,2021,6.8,2,19.22,E,No,No,4.4
PC,Plataformas,2020,7,10,46.65,M,Si,Si,8.5
Switch,Puzzle,2021,9.9,9,5.96,T,Si,No,9.45
Xbox Series X,Estrategia,2022,8.2,1,42.14,E,Si,No,4.6
Switch,Aventura,2020,9,9,45.82,AO,No,No,9
PC,Estrategia,2010,9.8,7,41.52,T,No,Si,8.4
Switch,Simulacion,2018,6.1,2,25.33,E10+,Si,Si,4.05
PS5,Simulacion,2025,5.7,8,49.68,M,Si,No,6.85
PS4,Accion,2018,5.2,6,44.55,T,No,Si,5.6
Xbox One,Carreras,2016,10,4,35.67,T,No,No,7
Switch,Estrategia,2020,9.5,7,0.65,E,No,Si,8.25
Xbox One,Carreras,2020,5.5,1,4.53,AO,No,Si,3.25
PC,Carreras,2018,10,3,38.03,E,No,Si,6.5
PC,Estrategia,2009,9.8,2,49.46,E10+,Si,Si,5.9
Xbox Series X,Deportes,2024,8.6,2,12.04,AO,Si,Si,5.3
Xbox One,Estrategia,2020,9.5,2,39.86,AO,No,No,5.75
PS5,Estrategia,2024,8.4,6,9.51,M,No,No,7.2
PC,Plataformas,2025,8.7,1,44.43,T,No,Si,4.85
PS5,Aventura,2021,5.2,8,16.55,T,No,Si,6.6
PS5,Aventura,2024,5.2,4,0.38,E,Si,No,4.6
PS4,RPG,2017,8.8,3,24.18,M,No,No,5.9
PS5,Puzzle,2022,6.6,10,35.55,AO,Si,Si,8.3
Switch,RPG,2022,8.7,2,3.89,AO,Si,Si,5.35
Xbox One,Accion,2020,8.8,7,0.3,E,Si,Si,7.9
Xbox One,Plataformas,2015,5.8,10,2.68,T,Si,No,7.9
PS4,Deportes,2017,7.4,5,42.12,T,Si,No,6.2
Xbox Series X,Carreras,2024,9.2,2,2.48,E,No,Si,5.6
PS4,Accion,2018,7.5,5,4.77,M,Si,Si,6.25
Xbox One,Aventura,2015,9.7,5,18.73,AO,Si,No,7.35
Xbox Series X,Simulacion,2020,5.8,7,29.91,AO,No,Si,6.4
Xbox One,Deportes,2019,5.8,1,48.04,E,No,Si,3.4
Switch,Accion,2020,7.2,9,19.88,M,No,No,8.1
PS5,Carreras,2024,8.8,6,34.18,E,Si,Si,7.4
Switch,Plataformas,2025,6.6,7,26.55,M,No,No,6.8
PS4,Carreras,2014,6.4,10,25.7,M,No,No,8.2
Switch,Simulacion,2024,6.4,1,42.07,M,No,No,3.7
Switch,Puzzle,2025,6.2,2,9.59,AO,No,No,4.1
PS5,Plataformas,2024,6.2,7,13.53,T,Si,Si,6.6
PS4,Estrategia,2019,7.2,5,28.07,T,No,No,6.1
Xbox One,Deportes,2015,7.9,10,35.11,T,No,No,8.95
Xbox One,Deportes,2019,6.6,3,2.97,T,Si,No,4.8
PS5,RPG,2021,5.2,9,18.89,E10+,Si,Si,7.1
Xbox One,Estrategia,2018,9.2,5,30.38,M,Si,No,7.1
PS5,Accion,2022,7.9,4,22.59,E10+,Si,Si,5.95
PC,Plataformas,2021,6.9,8,5.77,M,Si,Si,7.45
PS5,Estrategia,2020,6,8,34.1,E10+,No,Si,7
Xbox Series X,Deportes,2023,7.3,6,41.76,AO,No,Si,6.65
Xbox One,Puzzle,2016,9.1,4,13.92,M,Si,Si,6.55
PS4,Estrategia,2019,5.1,5,17.76,E10+,Si,No,5.05
Xbox Series X,Plataformas,2021,7.3,4,38.27,E10+,No,No,5.65
Xbox One,Simulacion,2016,9.8,6,32.4,M,Si,No,7.9
Xbox One,Plataformas,2018,5.8,1,49.04,E,No,No,3.4
Xbox Series X,Plataformas,2020,6.3,4,6.17,T,No,No,5.15
Xbox One,Plataformas,2013,8.1,1,41.2,T,Si,Si,4.55
PS4,Simulacion,2015,7.2,4,27.68,M,Si,Si,5.6
PS4,Aventura,2018,9.9,10,27.34,AO,Si,Si,9.95
Switch,RPG,2018,8.4,5,23.29,T,Si,No,6.7
PS5,Plataformas,2021,9.8,5,9.18,AO,No,Si,7.4
PS5,Aventura,2020,9.4,2,7.43,E10+,No,Si,5.7
PS4,Carreras,2016,5.3,3,9.03,AO,Si,Si,4.15
PC,Carreras,2012,5.2,8,44.71,M,Si,Si,6.6
Switch,RPG,2020,5.9,2,1.7,E10+,No,Si,3.95
PS4,Estrategia,2020,8.7,7,6.55,AO,No,No,7.85
Xbox One,Estrategia,2018,9.8,10,7.72,E10+,No,Si,9.9
Xbox Series X,Carreras,2021,8.3,9,21.86,M,No,No,8.65
PS4,Deportes,2013,8,3,11.67,E,Si,Si,5.5
PS5,Accion,2020,7.3,7,21.35,E10+,No,Si,7.15
PS4,Carreras,2018,7.8,4,8.29,T,Si,Si,5.9
PS4,RPG,2019,9.5,10,42.7,AO,No,Si,9.75
Switch,Carreras,2025,7.1,3,43.83,M,No,No,5.05
PS5,Carreras,2020,6.7,6,1.66,M,Si,Si,6.35
Xbox Series X,Estrategia,2021,9.4,10,7.89,M,Si,No,9.7
Xbox Series X,Deportes,2024,8.2,2,34.56,T,Si,Si,5.1
PC,RPG,2014,6.6,5,29.35,E,Si,No,5.8
Switch,Deportes,2024,8.9,2,0.62,E,Si,Si,5.45
PC,Carreras,2021,9.7,2,16.3,AO,No,No,5.85
PC,Simulacion,2019,8.9,4,28.08,AO,Si,No,6.45
PS4,Carreras,2019,7,9,4.22,E,No,Si,8
PS5,RPG,2023,6.7,5,26.81,AO,No,No,5.85
Xbox One,Simulacion,2013,8.3,3,38.92,E10+,Si,No,5.65
Switch,Carreras,2017,5.5,1,36.72,E,Si,No,3.25
Switch,Plataformas,2020,6.4,1,28.55,M,No,No,3.7
Xbox Series X,Plataformas,2024,8.5,2,20.76,AO,No,Si,5.25
PS5,RPG,2023,9,7,49.85,T,No,Si,8
PS5,Plataformas,2025,8.2,2,27.72,E10+,Si,Si,5.1
Xbox Series X,Puzzle,2024,8.7,1,34.46,M,Si,No,4.85
Xbox One,Aventura,2015,7.3,4,21.39,E,No,Si,5.65
Xbox Series X,Accion,2025,7.4,5,7.28,AO,Si,No,6.2
Xbox Series X,Plataformas,2023,8.4,4,4.95,T,Si,Si,6.2
PS4,RPG,2013,7.1,1,45.72,E,No,Si,4.05
PS4,Simulacion,2017,5.6,6,2.95,E10+,No,No,5.8
Switch,RPG,2021,6.4,10,15.58,AO,Si,Si,8.2
PS5,Puzzle,2020,6,1,45.61,E10+,Si,No,3.5
Xbox Series X,Simulacion,2023,6.2,5,33.08,AO,No,Si,5.6
PC,Plataformas,2021,8.6,8,38.08,E,Si,No,8.3
Xbox One,Plataformas,2017,5.3,1,31.63,E,Si,No,3.15
Xbox One,Carreras,2014,7.2,2,42.51,E,No,No,4.6
Switch,Aventura,2025,9.6,8,27.23,E10+,No,Si,8.8
PS4,Carreras,2014,8.4,4,30.66,M,No,Si,6.2
PC,Puzzle,2016,8.7,8,22.86,E,No,No,8.35
PS4,Deportes,2020,9.4,1,21.58,M,Si,Si,5.2
Switch,Estrategia,2018,7.4,6,44.77,AO,No,No,6.7
Xbox Series X,Estrategia,2020,6.3,7,18.22,E10+,Si,Si,6.65
PC,Aventura,2022,7.3,7,9.87,AO,Si,No,7.15
PS4,Carreras,2014,8.6,4,48.92,M,Si,No,6.3
Xbox One,Deportes,2013,6.9,7,22.89,AO,Si,Si,6.95
Xbox Series X,Accion,2021,7.6,3,46.49,E10+,No,No,5.3
PS5,Estrategia,2022,5.3,8,14.35,M,No,Si,6.65
PC,Accion,2009,7.4,4,46.02,M,Si,Si,5.7
PC,Accion,2014,9.8,1,14.39,T,No,Si,5.4
PC,Carreras,2012,9.7,7,49.06,AO,Si,Si,8.35
Xbox One,RPG,2019,6.2,10,32.84,E,No,No,8.1
Xbox One,Accion,2014,7.2,10,41.7,M,No,Si,8.6
Switch,Puzzle,2017,7.4,9,9.26,E10+,Si,Si,8.2
Switch,Estrategia,2025,8,2,40.13,E,Si,Si,5
Xbox One,Simulacion,2018,9.6,4,1.57,E,Si,No,6.8
Xbox Series X,Deportes,2025,9.2,2,22.46,E10+,Si,Si,5.6
PC,Aventura,2015,5.7,6,15.42,T,Si,No,5.85
Xbox Series X,Accion,2023,5.9,1,30.44,AO,No,No,3.45
Xbox One,RPG,2017,9.3,5,34.98,T,Si,Si,7.15
PC,Puzzle,2007,5.3,2,47.05,AO,Si,Si,3.65
Xbox Series X,Deportes,2024,5.4,1,24.92,M,Si,Si,3.2
Switch,Puzzle,2020,8.4,8,5.69,E10+,Si,Si,8.2
PS5,Simulacion,2021,5.9,3,9.53,M,No,No,4.45
PC,Plataformas,2010,5.9,2,38.67,AO,No,Si,3.95
PS4,Carreras,2016,5.2,6,17.74,M,No,No,5.6
Switch,Deportes,2024,6.7,3,21.74,AO,No,No,4.85
PS4,Carreras,2015,8.9,5,18.81,M,Si,No,6.95
PC,Estrategia,2013,7.3,10,5.35,M,No,Si,8.65
Xbox One,RPG,2019,9.2,3,20.73,E,No,No,6.1
PC,Aventura,2020,7.9,9,16.07,E10+,Si,Si,8.45
PS5,Estrategia,2024,7,5,5.9,E,No,No,6
Xbox One,Plataformas,2016,5.4,4,35.64,E,Si,No,4.7
Switch,RPG,2020,5.3,4,42.85,M,No,No,4.65
PC,Carreras,2014,5.9,10,15.94,E10+,Si,Si,7.95
Switch,Simulacion,2021,7.4,2,37.64,T,No,Si,4.7
PS4,Simulacion,2016,9,5,24.14,E10+,Si,Si,7
PS5,Carreras,2020,8,7,9.3,E,Si,Si,7.5
Xbox One,Carreras,2014,5.8,9,49.47,E10+,No,No,7.4
Xbox One,Simulacion,2013,5.8,8,12.45,E,Si,Si,6.9
Switch,Simulacion,2019,9.2,2,1.53,AO,Si,No,5.6
Switch,Estrategia,2024,7,1,32.38,T,Si,Si,4
PS4,Puzzle,2019,6.5,9,20.17,E10+,No,Si,7.75
PC,RPG,2009,9.1,9,26.86,E10+,Si,Si,9.05
Xbox One,Aventura,2020,9.8,10,23,T,Si,No,9.9
PS4,Deportes,2018,5.6,2,29.42,M,Si,Si,3.8
PS4,Carreras,2020,6.5,10,20.13,E,No,Si,8.25
Xbox One,Carreras,2018,8.6,2,23.01,AO,Si,No,5.3
Xbox One,Carreras,2019,9.6,7,36.9,AO,No,Si,8.3
PC,Aventura,2021,6.9,6,49.8,T,No,No,6.45
Xbox Series X,Simulacion,2020,9.1,10,49.4,E,No,No,9.55
PS4,Plataformas,2014,8.7,7,17.78,E,Si,Si,7.85
Xbox Series X,Carreras,2024,9.1,8,49.55,T,Si,No,8.55
PS5,Plataformas,2020,5.5,6,25.2,T,Si,Si,5.75
Switch,Estrategia,2021,9.5,10,13.27,M,Si,Si,9.75
Switch,Carreras,2020,9.3,1,32.06,T,Si,No,5.15
Xbox Series X,Deportes,2020,8.9,8,24.08,T,Si,No,8.45
Xbox Series X,Simulacion,2025,6.2,9,22.84,T,No,Si,7.6
PC,Estrategia,2009,6.3,10,11.53,T,Si,Si,8.15
PS4,Deportes,2018,6.2,5,2.79,M,No,Si,5.6
PS4,RPG,2018,9.3,3,48.38,M,No,No,6.15
PS4,Plataformas,2017,6.1,2,7.52,AO,No,No,4.05
Xbox Series X,Carreras,2022,8.4,1,30.84,E,No,Si,4.7
Switch,Aventura,2020,9.9,3,15.84,E,No,No,6.45
PS5,Plataformas,2022,7.9,3,42.07,E,No,No,5.45
PS4,Plataformas,2016,5.5,7,31.36,E10+,Si,No,6.25
Switch,RPG,2017,8.8,2,21.37,E10+,Si,No,5.4
PS5,Estrategia,2020,6.7,7,11.24,E10+,No,No,6.85
PS5,Carreras,2022,9,2,12.6,E10+,Si,No,5.5
PC,Deportes,2009,5.9,2,14.16,E,Si,No,3.95
Xbox Series X,Aventura,2022,6.9,10,29.96,AO,No,No,8.45
Xbox Series X,Accion,2025,5.5,9,46,T,Si,No,7.25
PS4,RPG,2019,5.3,4,47.24,AO,No,No,4.65
PS4,Estrategia,2020,6,8,46.77,E10+,Si,No,7
PC,Estrategia,2020,5.3,9,36.97,AO,Si,Si,7.15
Xbox One,Deportes,2014,5.1,3,40.45,M,Si,No,4.05
Switch,Puzzle,2023,8.3,1,24.36,E,Si,No,4.65
Xbox Series X,Plataformas,2025,6,1,45.08,M,No,No,3.5
PC,Deportes,2024,8.6,4,30.57,AO,No,Si,6.3
PS4,Puzzle,2014,10,4,4.47,M,No,No,7
PS4,RPG,2015,8.2,5,0.88,E10+,Si,No,6.6
Xbox Series X,Aventura,2024,7.1,4,29.15,T,No,No,5.55
Xbox Series X,RPG,2021,7.8,6,47.44,T,Si,No,6.9
PC,Simulacion,2008,7.6,10,26.6,AO,No,Si,8.8
PS5,Deportes,2024,7.6,10,32.75,E10+,Si,Si,8.8
PS4,Estrategia,2019,10,4,28.62,E10+,Si,Si,7
Switch,Aventura,2023,10,9,7.31,T,Si,Si,9.5
PS5,Deportes,2022,8.9,10,47,M,Si,Si,9.45
PS4,Simulacion,2018,8.7,5,31.67,M,No,No,6.85
Switch,Estrategia,2024,7.8,5,30.74,T,Si,Si,6.4
PS4,Plataformas,2015,9,8,6.1,E,No,Si,8.5
PS5,Simulacion,2024,9.7,5,1.38,AO,No,Si,7.35
PS4,Aventura,2019,6.7,10,17.8,E,No,Si,8.35
PS5,Estrategia,2020,5,8,40.04,E,No,Si,6.5
Xbox Series X,Simulacion,2023,9.1,5,33.05,M,Si,Si,7.05
Switch,Estrategia,2023,8.7,2,30.73,E10+,No,Si,5.35
